,pixel_index,roi_index,roi_name,fit_model,T2m,T2fl,T2fs,T1f,T1m,Af,Am,cl,cs,B1,echo,rss,rchi,AIC,BIC,dx,Am100,Af100,cl100,cs100,slice,nrows,ncols,groupName,subject,session,imagedRegion,imagedRegionType,roi
49,8580,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,118.61063440415154,0.0,365.0,1400.0,1.0,0.0,0.48494917463629195,0.0,0.9306642798531138,10.0,0.011281167890275444,0.000805797706448246,-118.4031753812524,-115.90353534908374,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
50,8581,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,118.2286466152237,0.0,365.0,1400.0,1.0,0.0,0.4855951646096903,0.0,0.9297299403609681,10.0,0.010993327501150209,0.0007852376786535864,-118.84256212661745,-116.3429220944488,0.45,0.0,100.0,100.00000000000001,-1.4210854715202004e-14,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
51,8582,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,117.47286084053809,0.0,365.0,1400.0,1.0,0.0,0.48911092403660383,0.0,0.92218737440593,10.0,0.01072408572494701,0.0007660061232105007,-119.26409895213641,-116.76445891996775,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
52,8583,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,117.05008811839247,0.0,365.0,1400.0,1.0,0.0,0.49123756581215805,0.0,0.9175753059355103,10.0,0.01063583911041098,0.0007597027936007843,-119.40456770323306,-116.9049276710644,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
53,8584,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,117.24803653303195,0.0,365.0,1400.0,1.0,0.0,0.48630823542584756,0.0,0.929904986270789,10.0,0.010663504125494522,0.0007616788661067515,-119.36040619875016,-116.8607661665815,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
54,8585,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,116.88951126354819,0.0,365.0,1400.0,1.0,0.0,0.47915332993325777,0.0,0.9498303126345545,10.0,0.011002896238549244,0.0007859211598963747,-118.8277715381992,-116.32813150603056,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
55,8586,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,116.11799462765948,0.0,365.0,1400.0,1.0,0.0,0.47452600730739336,0.0,0.9643771014841616,10.0,0.011415806944470145,0.0008154147817478675,-118.2014841174514,-115.70184408528274,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
56,8587,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,115.70141247328935,0.0,365.0,1400.0,1.0,0.0,0.4728723775103517,0.0,0.9691414953082316,10.0,0.011732439467683944,0.0008380313905488532,-117.73638723350977,-115.23674720134113,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
57,8588,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,115.52666395860012,0.0,365.0,1400.0,1.0,0.0,0.47400481289186414,0.0,0.9653439156605498,10.0,0.011602467902069232,0.0008287477072906594,-117.92576355538795,-115.4261235232193,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
58,8589,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,115.220900304983,0.0,365.0,1400.0,1.0,0.0,0.4748452593690038,0.0,0.9636056179433038,10.0,0.011405664648057558,0.0008146903320041113,-118.21659436568112,-115.71695433351246,0.45,0.0,100.0,100.00000000000001,-1.4210854715202004e-14,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
59,8590,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,114.28428525364976,0.0,365.0,1400.0,1.0,0.0,0.47342196584629825,0.0,0.9690861336715318,10.0,0.011709339398894847,0.0008363813856353462,-117.7698916274179,-115.27025159524925,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
60,8591,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,113.27842396750553,0.0,365.0,1400.0,1.0,0.0,0.46991884746795975,0.0,0.9805879909344952,10.0,0.012501668579249513,0.0008929763270892509,-116.65681052207698,-114.15717048990834,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
61,8592,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.89644468187265,0.0,365.0,1400.0,1.0,0.0,0.46753709554203926,0.0,0.9876324836740689,10.0,0.013120267465096338,0.0009371619617925956,-115.83577771240753,-113.33613768023889,0.45,0.0,100.0,99.99999999999999,1.4210854715202004e-14,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
62,8593,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,113.08582950909152,0.0,365.0,1400.0,1.0,0.0,0.4660273218410964,0.0,0.9927775165154874,10.0,0.013115566444883731,0.0009368261746345522,-115.84186994067394,-113.34222990850529,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
63,8594,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,113.20063804143432,0.0,365.0,1400.0,1.0,0.0,0.46279536675761435,0.0,1.0039328317886358,10.0,0.01336136250712042,0.0009543830362228872,-115.52622509308758,-113.02658506091893,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
64,8595,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,113.90858443363427,0.0,365.0,1400.0,1.0,0.0,0.4427290559282052,0.0,1.3820143671958665,10.0,0.012962899012110111,0.0009259213580078651,-116.04091355468925,-113.54127352252061,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
65,8596,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,113.30401346113771,0.0,365.0,1400.0,1.0,0.0,0.4399057689802991,0.0,1.364705692459853,10.0,0.013947600314460233,0.000996257165318588,-114.79623955062894,-112.29659951846028,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
66,8597,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.60866485516408,0.0,365.0,1400.0,1.0,0.0,0.439391331006571,0.0,1.3641559438541782,10.0,0.014289812110791411,0.0010207008650565295,-114.38417025121316,-111.8845302190445,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
67,8598,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,111.70680532576749,0.0,365.0,1400.0,1.0,0.0,0.44036251408781146,0.0,1.3693871023541395,10.0,0.01429789301018501,0.0010212780721560722,-114.37455945574928,-111.87491942358062,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
68,8599,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,110.9838242728638,0.0,365.0,1400.0,1.0,0.0,0.4405533488156297,0.0,1.364822182983634,10.0,0.014790506536249477,0.0010564647525892483,-113.79871267176182,-111.29907263959316,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
69,8833,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,121.17424278704515,0.0,365.0,1400.0,1.0,0.0,0.5028448887577721,0.0,0.9046745873743656,10.0,0.0058138198197777305,0.0004152728442698379,-129.67242380624734,-127.17278377407868,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
70,8834,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,121.55167095807728,0.0,365.0,1400.0,1.0,0.0,0.5002247634368516,0.0,0.9058864494774439,10.0,0.006786048671802136,0.00048471776227158116,-127.04369633339581,-124.54405630122716,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
71,8835,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,122.04530561393845,0.0,365.0,1400.0,1.0,0.0,0.4979034699277234,0.0,0.9052325617278065,10.0,0.00806706218125577,0.0005762187272325551,-124.10404723319726,-121.60440720102861,0.45,0.0,100.0,100.00000000000001,-1.4210854715202004e-14,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
